trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.9410714285714286, 'e': 0.5732736268885888}",30,9,-67.1733406734733,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 1}",1
112,False,"{'a': 0.9405357142857143, 'e': 0.5704072587541459}",25,0,-105.07122056250178,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
113,False,"{'a': 0.94, 'e': 0.5675552224603752}",25,0,-10.3628399114434,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
114,False,"{'a': 0.9394642857142858, 'e': 0.5647174463480732}",25,0,22.261955417769386,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.9389285714285714, 'e': 0.5618938591163328}",20,13,1.4491173527395231,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.9383928571428571, 'e': 0.5590843898207511}",25,12,-6.421829179599521,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.9378571428571428, 'e': 0.5562889678716475}",30,20,15.270732637258403,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.9373214285714285, 'e': 0.5535075230322892}",25,0,-76.48793898474348,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",1
119,False,"{'a': 0.9367857142857143, 'e': 0.5507399854171278}",30,0,-40.31745738061823,"{0: 24, 1: 3, 2: 0, 3: 3, 4: 0}",1
120,False,"{'a': 0.93625, 'e': 0.5479862854900421}",20,8,-20.899395325886527,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.9357142857142857, 'e': 0.5452463540625919}",20,2,-17.892928550016116,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.9351785714285714, 'e': 0.542520122292279}",20,0,-27.796877043185862,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.9346428571428571, 'e': 0.5398075216808176}",25,0,-48.24521327197161,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
124,False,"{'a': 0.9341071428571428, 'e': 0.5371084840724134}",25,0,-117.28596025349154,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
125,False,"{'a': 0.9335714285714286, 'e': 0.5344229416520514}",25,0,-63.69994002859566,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
126,False,"{'a': 0.9330357142857143, 'e': 0.5317508269437912}",20,0,-78.96353523667574,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
127,False,"{'a': 0.9325, 'e': 0.5290920728090721}",20,10,-17.776513889772843,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.9319642857142857, 'e': 0.5264466124450268}",20,8,-49.821215499103836,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
129,False,"{'a': 0.9314285714285714, 'e': 0.5238143793828016}",20,6,1.1175370014588817,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.9308928571428572, 'e': 0.5211953074858876}",20,0,14.33393286940063,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.9303571428571429, 'e': 0.5185893309484582}",20,11,-25.463726884059593,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.9298214285714286, 'e': 0.515996384293716}",25,15,-3.097686632315242,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.9292857142857143, 'e': 0.5134164023722474}",20,3,-6.600008372320124,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.92875, 'e': 0.5108493203603861}",25,0,-121.27889050080813,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
135,False,"{'a': 0.9282142857142857, 'e': 0.5082950737585842}",25,0,-81.36625230388884,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
136,False,"{'a': 0.9276785714285715, 'e': 0.5057535983897913}",20,0,-0.7370969512881421,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.9271428571428572, 'e': 0.5032248303978423}",25,0,-52.42311832365699,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
138,False,"{'a': 0.9266071428571429, 'e': 0.5007087062458531}",25,13,-14.009495513165353,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
